"TRAIN_NO";"OPEN_JOBS";"CLOSED_JOBS";"DATA_DATE"
"1";"0";"0";"2016-01-31"
"1";"0";"0";"2016-03-31"
"2";"0";"0";"2016-01-31"
"2";"0";"0";"2016-03-31"
"3";"62";"55";"2016-01-31"
"3";"76";"57";"2016-03-31"
"4";"62";"59";"2016-01-31"
"4";"75";"62";"2016-03-31"
"5";"57";"63";"2016-01-31"
"5";"66";"70";"2016-03-31"
"6";"77";"61";"2016-01-31"
"6";"91";"63";"2016-03-31"
"7";"89";"53";"2016-01-31"
"7";"103";"55";"2016-03-31"
"8";"51";"63";"2016-01-31"
"8";"60";"70";"2016-03-31"
"9";"52";"66";"2016-01-31"
"9";"63";"71";"2016-03-31"
"10";"42";"71";"2016-01-31"
"10";"55";"76";"2016-03-31"
"11";"72";"66";"2016-01-31"
"11";"79";"75";"2016-03-31"
"12";"38";"82";"2016-01-31"
"12";"44";"89";"2016-03-31"
"13";"35";"84";"2016-01-31"
"13";"44";"90";"2016-03-31"
"14";"58";"74";"2016-01-31"
"14";"67";"81";"2016-03-31"
"15";"58";"83";"2016-01-31"
"15";"65";"91";"2016-03-31"
"16";"55";"89";"2016-01-31"
"16";"65";"95";"2016-03-31"
"17";"61";"80";"2016-01-31"
"17";"74";"85";"2016-03-31"
"18";"54";"85";"2016-01-31"
"18";"65";"95";"2016-03-31"
"19";"62";"83";"2016-01-31"
"19";"76";"85";"2016-03-31"
"20";"50";"91";"2016-01-31"
"20";"57";"100";"2016-03-31"
"21";"52";"82";"2016-01-31"
"21";"54";"94";"2016-03-31"
"22";"67";"88";"2016-01-31"
"22";"78";"94";"2016-03-31"
"23";"38";"88";"2016-01-31"
"23";"45";"97";"2016-03-31"
"25";"55";"88";"2016-01-31"
"25";"54";"103";"2016-03-31"
"26";"43";"90";"2016-01-31"
"26";"53";"94";"2016-03-31"
"27";"45";"90";"2016-01-31"
"27";"52";"98";"2016-03-31"
"28";"46";"92";"2016-01-31"
"28";"52";"101";"2016-03-31"
"29";"59";"93";"2016-01-31"
"29";"65";"102";"2016-03-31"
